split,task,image,mask,foreground_pixels
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_006.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_006.npy,155
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_007.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_007.npy,124
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_008.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_008.npy,157
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_009.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_009.npy,145
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_010.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_010.npy,137
train,VehicleProfiler_AsphaltCrack,train\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_011.npy,train\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_011.npy,103
val,VehicleProfiler_AsphaltCrack,val\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_000.npy,val\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_000.npy,128
val,VehicleProfiler_AsphaltCrack,val\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_001.npy,val\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_001.npy,149
val,VehicleProfiler_AsphaltCrack,val\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_002.npy,val\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_002.npy,159
val,VehicleProfiler_AsphaltCrack,val\VehicleProfiler_AsphaltCrack\npy_imgs\DemoSource_003.npy,val\VehicleProfiler_AsphaltCrack\npy_gts\DemoSource_003.npy,165
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_000.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_000.npy,219
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_001.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_001.npy,223
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_002.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_002.npy,207
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_003.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_003.npy,253
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_004.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_004.npy,197
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_005.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_005.npy,223
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_006.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_006.npy,223
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_007.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_007.npy,245
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_008.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_008.npy,245
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_009.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_009.npy,275
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_010.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_010.npy,207
train,Handheld_ConcretePavementPothole,train\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_011.npy,train\Handheld_ConcretePavementPothole\npy_gts\DemoSource_011.npy,185
val,Handheld_ConcretePavementPothole,val\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_000.npy,val\Handheld_ConcretePavementPothole\npy_gts\DemoSource_000.npy,237
val,Handheld_ConcretePavementPothole,val\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_001.npy,val\Handheld_ConcretePavementPothole\npy_gts\DemoSource_001.npy,145
val,Handheld_ConcretePavementPothole,val\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_002.npy,val\Handheld_ConcretePavementPothole\npy_gts\DemoSource_002.npy,219
val,Handheld_ConcretePavementPothole,val\Handheld_ConcretePavementPothole\npy_imgs\DemoSource_003.npy,val\Handheld_ConcretePavementPothole\npy_gts\DemoSource_003.npy,237
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_000.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_000.npy,143
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_001.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_001.npy,143
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_002.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_002.npy,127
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_003.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_003.npy,169
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_004.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_004.npy,135
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_005.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_005.npy,157
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_006.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_006.npy,118
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_007.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_007.npy,184
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_008.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_008.npy,120
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_009.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_009.npy,171
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_010.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_010.npy,149
train,Aerial_RoadCrack,train\Aerial_RoadCrack\npy_imgs\DemoSource_011.npy,train\Aerial_RoadCrack\npy_gts\DemoSource_011.npy,139
val,Aerial_RoadCrack,val\Aerial_RoadCrack\npy_imgs\DemoSource_000.npy,val\Aerial_RoadCrack\npy_gts\DemoSource_000.npy,179
val,Aerial_RoadCrack,val\Aerial_RoadCrack\npy_imgs\DemoSource_001.npy,val\Aerial_RoadCrack\npy_gts\DemoSource_001.npy,104
val,Aerial_RoadCrack,val\Aerial_RoadCrack\npy_imgs\DemoSource_002.npy,val\Aerial_RoadCrack\npy_gts\DemoSource_002.npy,159
val,Aerial_RoadCrack,val\Aerial_RoadCrack\npy_imgs\DemoSource_003.npy,val\Aerial_RoadCrack\npy_gts\DemoSource_003.npy,111
